Sektor,Sira,Sehir,Skor
Turizm / Otelcilik,1,Ankara,53.40375018443149
Turizm / Otelcilik,2,Gaziantep,49.990169791730565
Turizm / Otelcilik,3,Şanlıurfa,48.39354104892841
Turizm / Otelcilik,4,İzmir,48.10343996811305
Turizm / Otelcilik,5,İstanbul,47.935686045779136
Teknoloji / Yazılım,1,Kocaeli,58.35554891626125
Teknoloji / Yazılım,2,İstanbul,56.078327126905045
Teknoloji / Yazılım,3,Bursa,56.02701134574322
Teknoloji / Yazılım,4,İzmir,53.649538444518086
Teknoloji / Yazılım,5,Ankara,50.26357080198912
Sanayi / Üretim,1,İstanbul,76.73001001062683
Sanayi / Üretim,2,Bursa,64.42696567827325
Sanayi / Üretim,3,Kocaeli,62.746614741656316
Sanayi / Üretim,4,Manisa,62.496721416332846
Sanayi / Üretim,5,Ankara,62.41897379390865
Tarım ve Hayvancılık,1,Konya,82.28471257038882
Tarım ve Hayvancılık,2,Ankara,63.533233705899164
Tarım ve Hayvancılık,3,Şanlıurfa,61.689488537996205
Tarım ve Hayvancılık,4,Manisa,49.22105060478882
Tarım ve Hayvancılık,5,Sivas,48.91575417082233
Sağlık,1,Hakkari,88.098212912255
Sağlık,2,Adıyaman,81.61436483614955
Sağlık,3,Siirt,78.40435729371472
Sağlık,4,Şırnak,76.64322196621154
Sağlık,5,Muş,75.81835331538814
Enerji,1,İstanbul,73.96609659315199
Enerji,2,Ankara,64.276376631464
Enerji,3,Bursa,56.294828971305776
Enerji,4,Manisa,53.41966516573732
Enerji,5,Kocaeli,53.41660350815487
Konut & İnşaat,1,Ankara,66.37335683503306
Konut & İnşaat,2,İstanbul,63.62069517992911
Konut & İnşaat,3,İzmir,56.137985617024164
Konut & İnşaat,4,Antalya,54.41065333956578
Konut & İnşaat,5,Tekirdağ,50.31611271939151
Lojistik,1,Manisa,90.81813712985901
Lojistik,2,Konya,87.41890669792357
Lojistik,3,Sakarya,85.23121880679653
Lojistik,4,Isparta,84.37744562107797
Lojistik,5,Karaman,84.27477016471236
Perakende,1,İstanbul,77.0574108604743
Perakende,2,Ankara,60.88413785393677
Perakende,3,Bursa,56.77745353808571
Perakende,4,Kocaeli,53.996647582622984
Perakende,5,İzmir,50.15284342089843
Eğitim Kurumları,1,İstanbul,62.07795840390708
Eğitim Kurumları,2,Kocaeli,51.09119219455567
Eğitim Kurumları,3,Bursa,50.9425287749479
Eğitim Kurumları,4,Gaziantep,46.73962493166829
Eğitim Kurumları,5,Gümüşhane,45.12606966832641
Gıda İşleme,1,Konya,88.63626387827975
Gıda İşleme,2,Ankara,68.74650785524987
Gıda İşleme,3,Manisa,64.43429451070733
Gıda İşleme,4,Afyonkarahisar,59.16904727949901
Gıda İşleme,5,Sivas,57.12973654662209
Finans,1,İstanbul,76.45456618729358
Finans,2,Kocaeli,68.12634961463637
Finans,3,Bursa,66.28356701976305
Finans,4,Manisa,54.937223140377725
Finans,5,Ankara,54.79035769379112
Otomotiv,1,İstanbul,84.67981017468755
Otomotiv,2,Manisa,63.415230669364945
Otomotiv,3,Bursa,62.36885093401159
Otomotiv,4,Ankara,59.88987046888128
Otomotiv,5,Kocaeli,59.85705544100486
Mobilya,1,İstanbul,91.07690474742846
Mobilya,2,Ankara,51.38673364439848
Mobilya,3,Bursa,47.21049743770151
Mobilya,4,Kocaeli,46.54656291028461
Mobilya,5,İzmir,44.35406249180366
Telekom,1,Kocaeli,54.560555732675674
Telekom,2,Bursa,54.14037742051683
Telekom,3,İstanbul,51.93437002720835
Telekom,4,Gaziantep,48.14826159708285
Telekom,5,Gümüşhane,46.787635848941655
Çevre / Atık,1,Iğdır,86.71734987911435
Çevre / Atık,2,Hakkari,82.92324747161788
Çevre / Atık,3,Adıyaman,81.50373519555755
Çevre / Atık,4,Kilis,79.31010133961415
Çevre / Atık,5,Ağrı,75.22675040422338
Sosyal Hizmetler,1,Hakkari,88.81006810066215
Sosyal Hizmetler,2,Siirt,83.57042275885192
Sosyal Hizmetler,3,Adıyaman,81.3068276632223
Sosyal Hizmetler,4,Şırnak,79.21323252733453
Sosyal Hizmetler,5,Mardin,78.00897837630879
Kültür & Sanat,1,Kocaeli,52.683664272591045
Kültür & Sanat,2,Bursa,52.34177078343409
Kültür & Sanat,3,İstanbul,51.78826027704873
Kültür & Sanat,4,Gaziantep,51.54809604006113
Kültür & Sanat,5,Şanlıurfa,48.159530094399216
Ulaşım,1,Hakkari,83.88491975245167
Ulaşım,2,Kilis,75.48167264993742
Ulaşım,3,Adıyaman,72.59577391426663
Ulaşım,4,Siirt,70.38966093491359
Ulaşım,5,Muş,68.8670334106024
