Sehir,Sira,Sektor,Skor
Adana,1,Sosyal Hizmetler,58.41169917896759
Adana,2,Lojistik,54.478455738885614
Adana,3,Sağlık,51.299471305929686
Adana,4,Ulaşım,45.11079250803977
Adana,5,Gıda İşleme,43.102722207870286
Adıyaman,1,Sağlık,81.61436483614955
Adıyaman,2,Çevre / Atık,81.50373519555755
Adıyaman,3,Sosyal Hizmetler,81.3068276632223
Adıyaman,4,Ulaşım,72.59577391426663
Adıyaman,5,Turizm / Otelcilik,33.96270954247548
Afyonkarahisar,1,Lojistik,81.72070717975754
Afyonkarahisar,2,Gıda İşleme,59.16904727949901
Afyonkarahisar,3,Otomotiv,56.08938787722082
Afyonkarahisar,4,Sanayi / Üretim,55.571816406849564
Afyonkarahisar,5,Finans,49.138289981780154
Ağrı,1,Çevre / Atık,75.22675040422338
Ağrı,2,Sosyal Hizmetler,68.66571952280569
Ağrı,3,Sağlık,66.77084237194732
Ağrı,4,Ulaşım,60.978015940645804
Ağrı,5,Lojistik,43.48889329547643
Aksaray,1,Ulaşım,63.247386863962205
Aksaray,2,Sosyal Hizmetler,56.48841934658636
Aksaray,3,Sağlık,52.30824681662148
Aksaray,4,Lojistik,49.57387801462361
Aksaray,5,Çevre / Atık,42.78488192046876
Amasya,1,Lojistik,69.6172937680452
Amasya,2,Gıda İşleme,44.42636723456386
Amasya,3,Sanayi / Üretim,43.35360427726794
Amasya,4,Kültür & Sanat,43.255023811366925
Amasya,5,Teknoloji / Yazılım,43.07896403957198
Ankara,1,Lojistik,76.33289228484902
Ankara,2,Gıda İşleme,68.74650785524987
Ankara,3,Konut & İnşaat,66.37335683503306
Ankara,4,Enerji,64.276376631464
Ankara,5,Tarım ve Hayvancılık,63.533233705899164
Antalya,1,Lojistik,66.58407802460722
Antalya,2,Ulaşım,54.95580930005934
Antalya,3,Konut & İnşaat,54.41065333956578
Antalya,4,Perakende,48.12140823768445
Antalya,5,Sanayi / Üretim,48.11816144281816
Ardahan,1,Çevre / Atık,74.30827698981908
Ardahan,2,Sosyal Hizmetler,59.37006378526121
Ardahan,3,Sağlık,57.1062438142133
Ardahan,4,Ulaşım,55.843321121779525
Ardahan,5,Lojistik,46.62412008756026
Artvin,1,Lojistik,74.30333319320233
Artvin,2,Sanayi / Üretim,51.270720988158445
Artvin,3,Otomotiv,50.92321171665291
Artvin,4,Finans,47.13379571901491
